event_id,current_time,event_starttimestamp,event_state,outcome_home,outcome_draw,outcome_away,outcome_unexpectedOddsTrend,outcome_startingOdds,event_home_score,event_away_score,event_time
1006049983,2020-01-30T17:55:24Z,2020-01-30T16:08:06Z,STARTED,9/5,1/2,23/2,,,1,1,83
1006105979,2020-01-30T17:55:24Z,2020-01-30T16:11:35Z,STARTED,,1000/1,1000/1,,,4,1,86
1006103903,2020-01-30T17:55:24Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,,,0,1,65
1006105984,2020-01-30T17:55:24Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:55:24Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,24
1006107245,2020-01-30T17:55:24Z,2020-01-30T17:31:05Z,STARTED,22/25,27/10,5/2,False,5/6,1,1,24
1006107510,2020-01-30T17:55:24Z,2020-01-30T17:33:52Z,STARTED,3/4,13/5,3/1,False,9/10,0,0,21
1006042012,2020-01-30T17:55:24Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,20
1006049983,2020-01-30T17:55:51Z,2020-01-30T16:08:06Z,STARTED,19/10,1/2,23/2,True,1/6,1,1,83
1006105979,2020-01-30T17:55:51Z,2020-01-30T16:11:35Z,STARTED,,1000/1,1000/1,False,4/11,4,1,87
1006103903,2020-01-30T17:55:51Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,65
1006105984,2020-01-30T17:55:51Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:55:51Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,25
1006107245,2020-01-30T17:55:51Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,24
1006107510,2020-01-30T17:55:51Z,2020-01-30T17:33:52Z,STARTED,3/4,13/5,3/1,False,9/10,0,0,21
1006042012,2020-01-30T17:55:51Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,21
1006049983,2020-01-30T17:56:19Z,2020-01-30T16:08:06Z,STARTED,41/20,1/2,14/1,True,1/6,1,1,84
1006105979,2020-01-30T17:56:19Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,87
1006103903,2020-01-30T17:56:19Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,66
1006105984,2020-01-30T17:56:19Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:56:19Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,25
1006107245,2020-01-30T17:56:19Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,25
1006107510,2020-01-30T17:56:19Z,2020-01-30T17:33:52Z,STARTED,3/4,13/5,3/1,False,9/10,0,0,22
1006042012,2020-01-30T17:56:19Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,21
1006049983,2020-01-30T17:56:46Z,2020-01-30T16:08:06Z,STARTED,41/20,21/50,14/1,True,1/6,1,1,84
1006105979,2020-01-30T17:56:46Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,88
